code,ticker,earnings_date,period_type,sales,operating_profit,net_profit,eps,dps,reported_eps,eps_estimate,surprise_pct,source,sales_yoy,operating_profit_yoy,net_profit_yoy,eps_yoy
1941,1941.T,2015-04-27 20:00:00,quarterly,,,,57.9,,57.9,26.7,116.85,yfinance,,,,58.28321487151449
1946,1946.T,2015-04-27 20:00:00,quarterly,,,,10.69,,10.69,16.75,-36.16,yfinance,,,,-11.798679867986797
1934,1934.T,2015-04-27 20:00:00,quarterly,,,,105.93,,105.93,102.63,3.21,yfinance,,,,213.1244457582028
1950,1950.T,2015-04-27 20:00:00,quarterly,,,,110.6,,110.6,98.83,11.91,yfinance,,,,272.8927848954821
1945,1945.T,2015-04-27 20:00:00,quarterly,,,,51.29,,51.29,47.99,6.87,yfinance,,,,409.3346573982125
1929,1929.T,2015-05-07 20:00:00,quarterly,,,,34.6,,34.6,26.35,31.29,yfinance,,,,1658.5585585585584
1301,1301.T,2015-05-07 20:00:00,quarterly,,,,-35.5,,-35.5,69.4,-151.15,yfinance,,,,-168.93203883495144
1515,1515.T,2015-05-07 20:00:00,quarterly,,,,26.75,,26.75,17.11,56.3,yfinance,,,,22.25776965265083
1518,1518.T,2015-05-07 20:00:00,quarterly,,,,8.22,,8.22,0.06,12743.75,yfinance,,,,-20.656370656370644
1968,1968.T,2015-05-07 20:00:00,quarterly,,,,20.3,,20.3,15.15,34.02,yfinance,,,,98.43597262952102
1720,1720.T,2015-05-10 20:00:00,quarterly,,,,17.52,,17.52,16.19,8.21,yfinance,,,,-22.237017310253
2305,2305.T,2015-05-10 20:00:00,quarterly,,,,-44.6,,-44.6,-36.52,-22.14,yfinance,,,,-128.20285822688757
1813,1813.T,2015-05-10 20:00:00,quarterly,,,,35.9,,35.9,98.86,-63.69,yfinance,,,,-61.521972132904615
2281,2281.T,2015-05-10 20:00:00,quarterly,,,,45.15,,45.15,13.54,233.46,yfinance,,,,-7.668711656441718
2220,2220.T,2015-05-10 20:00:00,quarterly,,,,20.7,,20.7,18.2,13.74,yfinance,,,,-0.5285920230658311
2121,2121.T,2015-05-11 20:00:00,quarterly,,,,172.12,,172.12,156.28,10.13,yfinance,,,,38.21569099815306
2433,2433.T,2015-05-11 20:00:00,quarterly,,,,11.06,,11.06,14.27,-22.49,yfinance,,,,-34.94117647058823
1982,1982.T,2015-05-11 20:00:00,quarterly,,,,47.69,,47.69,33.32,43.12,yfinance,,,,1001.3856812933025
2109,2109.T,2015-05-11 20:00:00,quarterly,,,,47.95,,47.95,52.2,-8.14,yfinance,,,,-30.152949745083763
2370,2370.T,2015-05-11 20:00:00,quarterly,,,,-3.87,,-3.87,-4.9,21.0,yfinance,,,,-15.178571428571436
1926,1926.T,2015-05-11 20:00:00,quarterly,,,,33.56,,33.56,35.63,-5.82,yfinance,,,,41.54365246731337
1820,1820.T,2015-05-12 20:00:00,quarterly,,,,48.6,,48.6,24.53,98.17,yfinance,,,,76.72727272727273
2594,2594.T,2015-05-12 20:00:00,quarterly,,,,-7.67,,-7.67,-18.81,59.23,yfinance,,,,-135.57513914656772
1833,1833.T,2015-05-12 20:00:00,quarterly,,,,43.6,,43.6,17.98,142.48,yfinance,,,,122.44897959183672
1762,1762.T,2015-05-12 20:00:00,quarterly,,,,95.72,,95.72,36.95,159.05,yfinance,,,,107.54553339115351
1719,1719.T,2015-05-12 20:00:00,quarterly,,,,-2.9,,-2.9,14.34,-120.22,yfinance,,,,-115.40913921360254
2160,2160.T,2015-05-12 20:00:00,quarterly,,,,-4.57,,-4.57,-3.44,-32.62,yfinance,,,,-607.7777777777778
2288,2288.T,2015-05-12 20:00:00,quarterly,,,,-10.2,,-10.2,-15.09,32.43,yfinance,,,,-122.9988726042841
2342,2342.T,2015-05-13 20:00:00,quarterly,,,,10.7,,10.7,9.65,10.89,yfinance,,,,8816.666666666668
1921,1921.T,2015-05-13 20:00:00,quarterly,,,,7.35,,7.35,5.41,35.88,yfinance,,,,10399.999999999998
1860,1860.T,2015-05-13 20:00:00,quarterly,,,,7.93,,7.93,4.56,74.04,yfinance,,,,
1882,1882.T,2015-05-13 20:00:00,quarterly,,,,50.78,,50.78,38.34,32.43,yfinance,,,,96.13750482811896
2004,2004.T,2015-05-13 20:00:00,quarterly,,,,18.65,,18.65,52.3,-64.34,yfinance,,,,-49.662618083670715
1963,1963.T,2015-05-13 20:00:00,quarterly,,,,-82.94,,-82.94,-81.47,-1.8,yfinance,,,,-229.776247848537
2001,2001.T,2015-05-13 20:00:00,quarterly,,,,20.18,,20.18,21.99,-8.25,yfinance,,,,-23.32826747720365
1815,1815.T,2015-05-13 20:00:00,quarterly,,,,-13.4,,-13.4,91.05,-114.72,yfinance,,,,-119.53352769679302
1861,1861.T,2015-05-13 20:00:00,quarterly,,,,25.13,,25.13,15.64,60.62,yfinance,,,,62.33850129198966
1888,1888.T,2015-05-13 20:00:00,quarterly,,,,65.9,,65.9,43.69,50.84,yfinance,,,,97.30538922155691
1885,1885.T,2015-05-14 20:00:00,quarterly,,,,13.3,,13.3,20.78,-36.0,yfinance,,,,-12.095175148711169
1822,1822.T,2015-05-14 20:00:00,quarterly,,,,18.92,,18.92,18.38,2.94,yfinance,,,,-25.039619651347056
2108,2108.T,2015-05-14 20:00:00,quarterly,,,,48.4,,48.4,48.38,0.04,yfinance,,,,868.2539682539682
2201,2201.T,2015-05-14 20:00:00,quarterly,,,,4.38,,4.38,4.86,-10.03,yfinance,,,,-72.71028037383178
2157,2157.T,2015-07-09 20:00:00,quarterly,,,,6.57,,6.57,11.99,-45.22,yfinance,,,,-49.73221117061974
2664,2664.T,2015-07-23 20:00:00,quarterly,,,,39.5,,39.5,38.06,3.79,yfinance,,,,310.6029106029107
2594,2594.T,2015-07-26 20:00:00,quarterly,,,,22.25,,22.25,16.93,31.46,yfinance,,,,390.0912646675359
1950,1950.T,2015-07-28 20:00:00,quarterly,,,,-0.52,,-0.52,-6.91,92.47,yfinance,,,,-100.47016274864376
1941,1941.T,2015-07-28 20:00:00,quarterly,,,,50.17,,50.17,13.29,277.45,yfinance,,,,-13.350604490500858
1934,1934.T,2015-07-28 20:00:00,quarterly,,,,19.33,,19.33,1.39,1294.66,yfinance,,,,-81.75210044368923
1945,1945.T,2015-07-29 20:00:00,quarterly,,,,13.04,,13.04,27.1,-51.88,yfinance,,,,-74.57594072918697
1946,1946.T,2015-07-30 20:00:00,quarterly,,,,13.94,,13.94,4.52,208.2,yfinance,,,,30.402245088868103
2220,2220.T,2015-07-30 20:00:00,quarterly,,,,6.9,,6.9,11.14,-38.07,yfinance,,,,-66.66666666666666
2109,2109.T,2015-07-30 20:00:00,quarterly,,,,71.6,,71.6,47.43,50.98,yfinance,,,,49.32221063607923
1301,1301.T,2015-08-02 20:00:00,quarterly,,,,30.2,,30.2,56.44,-46.49,yfinance,,,,185.07042253521126
2281,2281.T,2015-08-02 20:00:00,quarterly,,,,24.05,,24.05,30.57,-21.33,yfinance,,,,-46.733111849390916
2288,2288.T,2015-08-03 20:00:00,quarterly,,,,26.55,,26.55,22.34,18.87,yfinance,,,,360.29411764705884
2370,2370.T,2015-08-03 20:00:00,quarterly,,,,-5.29,,-5.29,-4.39,-20.56,yfinance,,,,-36.69250645994831
1515,1515.T,2015-08-03 20:00:00,quarterly,,,,24.59,,24.59,22.7,8.31,yfinance,,,,-8.074766355140188
1926,1926.T,2015-08-03 20:00:00,quarterly,,,,26.2,,26.2,3.53,641.37,yfinance,,,,-21.930870083432666
1833,1833.T,2015-08-04 20:00:00,quarterly,,,,60.25,,60.25,44.3,36.01,yfinance,,,,38.18807339449541
2433,2433.T,2015-08-04 20:00:00,quarterly,,,,7.99,,7.99,7.36,8.56,yfinance,,,,-27.75768535262206
2004,2004.T,2015-08-04 20:00:00,quarterly,,,,55.2,,55.2,68.49,-19.4,yfinance,,,,195.97855227882042
1720,1720.T,2015-08-04 20:00:00,quarterly,,,,16.96,,16.96,2.39,610.81,yfinance,,,,-3.1963470319634633
2201,2201.T,2015-08-04 20:00:00,quarterly,,,,22.75,,22.75,6.66,241.59,yfinance,,,,419.406392694064
2342,2342.T,2015-08-05 20:00:00,quarterly,,,,-5.28,,-5.28,-1.06,-399.05,yfinance,,,,-149.34579439252337
1860,1860.T,2015-08-05 20:00:00,quarterly,,,,17.86,,17.86,14.18,25.96,yfinance,,,,125.22068095838588
1813,1813.T,2015-08-05 20:00:00,quarterly,,,,12.1,,12.1,-2.09,678.95,yfinance,,,,-66.29526462395543
2001,2001.T,2015-08-05 20:00:00,quarterly,,,,25.72,,25.72,23.08,11.42,yfinance,,,,27.452923686818632
1861,1861.T,2015-08-05 20:00:00,quarterly,,,,22.5,,22.5,-1.2,1978.91,yfinance,,,,-10.465578989255867
1982,1982.T,2015-08-05 20:00:00,quarterly,,,,-7.06,,-7.06,-4.78,-47.81,yfinance,,,,-114.80394212623193
1929,1929.T,2015-08-05 20:00:00,quarterly,,,,8.53,,8.53,-4.5,289.47,yfinance,,,,-75.34682080924856
1518,1518.T,2015-08-06 20:00:00,quarterly,,,,5.5,,5.5,0.23,2270.69,yfinance,,,,-33.09002433090025
1719,1719.T,2015-08-06 20:00:00,quarterly,,,,15.26,,15.26,1.0,1429.06,yfinance,,,,626.2068965517242
1885,1885.T,2015-08-06 20:00:00,quarterly,,,,16.45,,16.45,-10.69,253.88,yfinance,,,,23.684210526315777
1815,1815.T,2015-08-06 20:00:00,quarterly,,,,13.1,,13.1,12.63,3.72,yfinance,,,,197.76119402985074
1968,1968.T,2015-08-06 20:00:00,quarterly,,,,21.37,,21.37,19.09,11.97,yfinance,,,,5.270935960591134
1888,1888.T,2015-08-06 20:00:00,quarterly,,,,26.7,,26.7,-17.44,253.1,yfinance,,,,-59.48406676783004
1921,1921.T,2015-08-06 20:00:00,quarterly,,,,5.9,,5.9,-0.09,6310.53,yfinance,,,,-19.727891156462576
